,fname,ACC,MDR,FAR,MAE,RMSE
724,3896.wav,0.8837209343910217,0.11627907305955887,0.11627907305955887,4.1760711669921875,5.210793972015381
725,3552.wav,0.9523809552192688,0.0476190485060215,0.0,1.8743267059326172,2.4206130504608154
726,554.wav,1.0,0.0,0.0,1.0895681381225586,1.3139840364456177
727,273.wav,1.0,0.0,0.0,1.2401630878448486,1.5316643714904785
728,3845.wav,1.0,0.0,0.0,1.0235060453414917,1.2022455930709839
729,425.wav,0.8421052694320679,0.15789473056793213,0.0,2.6056478023529053,3.164196252822876
730,442.wav,0.550000011920929,0.44999998807907104,0.0,0.504463255405426,0.6943659782409668
731,665.wav,0.8500000238418579,0.15000000596046448,0.10000000149011612,4.647548198699951,5.540639877319336
732,1093.wav,0.8536585569381714,0.1463414579629898,0.04878048598766327,2.3378803730010986,2.8542144298553467
733,2080.wav,0.949999988079071,0.05000000074505806,0.02500000037252903,2.754828453063965,3.6486916542053223
734,713.wav,0.8636363744735718,0.13636364042758942,0.022727273404598236,1.695378065109253,2.4560818672180176
735,42.wav,1.0,0.0,0.0,1.0250401496887207,1.2021578550338745
736,3319.wav,0.9523809552192688,0.0476190485060215,0.0,1.8176802396774292,2.3173534870147705
737,551.wav,0.9555555582046509,0.04444444552063942,0.0,0.9320843815803528,1.2367398738861084
738,1145.wav,0.6666666865348816,0.3333333432674408,0.25641027092933655,1.3046966791152954,1.8885366916656494
739,1121.wav,0.9444444179534912,0.0555555559694767,0.0,2.1749460697174072,2.6797263622283936
740,1218.wav,0.9736841917037964,0.02631578966975212,0.05263157933950424,2.5738632678985596,3.783344268798828
741,3136.wav,0.9024389982223511,0.09756097197532654,0.09756097197532654,2.3428609371185303,3.256350517272949
742,2838.wav,0.9534883499145508,0.04651162773370743,0.023255813866853714,2.2989485263824463,2.997868776321411
743,3847.wav,0.9512194991111755,0.04878048598766327,0.0731707289814949,1.1873098611831665,1.6626745462417603
744,971.wav,0.8999999761581421,0.10000000149011612,0.02500000037252903,1.6020087003707886,2.4032716751098633
745,1101.wav,1.0,0.0,0.0,1.2831521034240723,1.773748755455017
746,2768.wav,1.0,0.0,0.0,0.9164031147956848,1.0896166563034058
747,695.wav,1.0,0.0,0.0,1.7787209749221802,2.485898971557617
748,3786.wav,0.9444444179534912,0.0555555559694767,0.0555555559694767,1.8943668603897095,2.5322213172912598
749,3677.wav,0.9473684430122375,0.05263157933950424,0.0,1.5325793027877808,2.1186630725860596
750,3440.wav,0.9230769276618958,0.07692307978868484,0.0,1.7543398141860962,2.216970205307007
751,3557.wav,0.824999988079071,0.17499999701976776,0.10000000149011612,2.8101603984832764,3.7519257068634033
752,184.wav,0.9285714030265808,0.0714285746216774,0.0,0.8403098583221436,1.2479114532470703
753,2958.wav,0.8947368264198303,0.10526315867900848,0.05263157933950424,2.1542742252349854,2.7364590167999268
754,2459.wav,1.0,0.0,0.0,1.4269094467163086,1.6639496088027954
755,3730.wav,0.9024389982223511,0.09756097197532654,0.0,1.5052757263183594,2.061800003051758
756,1645.wav,0.9473684430122375,0.05263157933950424,0.05263157933950424,1.0891839265823364,1.7175679206848145
